UniqueID,Month,test_Posts_dataframe,test_Posts_numpy,test_Posts_pandas,test_Posts_python,test_Posts_sas,test_Posts_sas-macro,test_Posts_sql,test_Posts_variables,test_Score_dataframe,test_Score_numpy,test_Score_pandas,test_Score_python,test_Score_sas,test_Score_sas-macro,test_Score_sql,test_Score_variables
AndyHayden,May,191.0,,1281.0,1360.0,,,,,2264.0,,8063.0,7991.0,,,,
DomPazz,May,,,,,417.0,26.0,30.0,,,,,,597.0,46.0,33.0,
EdChum,May,529.0,,2501.0,2363.0,,,,,1748.0,,6579.0,6439.0,,,,
Joe,May,,,,,1980.0,184.0,189.0,,,,,,3151.0,343.0,279.0,
Longfish,May,,,,,255.0,,39.0,8.0,,,,,478.0,,62.0,19.0
Reeza,May,,,,,511.0,39.0,38.0,,,,,,549.0,54.0,32.0,
Tom,May,,,,,690.0,83.0,79.0,,,,,,792.0,96.0,91.0,
jezrael,May,1601.0,,4754.0,4185.0,,,,,2847.0,,7976.0,7485.0,,,,
piRSquared,May,853.0,,3004.0,2782.0,,,,,1696.0,,5024.0,4625.0,,,,
unutbu,May,,1035.0,1276.0,6409.0,,,,,,6382.0,6345.0,39827.0,,,,
